年,月,規模,就業形態,現金給与総額,きまって支給する給与,所定内給与,所定外給与,特別給与,総実労働時間,所定内労働時間,所定外労働時間,前月末労働者数,本月末労働者数,パートタイム労働者数,現金給与総額指数,きまって支給する給与指数,所定内給与指数,所定外給与指数,特別給与指数,総実労働時間指数,所定内労働時間指数,所定外労働時間指数,CPI(持ち家除く総合),実質_現金給与総額指数,実質_きまって支給する給与指数,実質_所定内給与指数,実質_所定外給与指数,実質_特別給与指数,実質_現金給与総額,実質_きまって支給する給与,実質_所定内給与,実質_所定外給与,実質_特別給与
1980,99,500人以上,形態計,309629,222319.0,195430.0,,87310.0,174.4,156.9,17.5,4162165.0,4164818.0,,64.60294608579537,60.504514998285444,59.167602687262146,,78.06827732970905,116.96847753185781,116.30837657524091,123.23943661971832,73.8,87.53786732492598,81.98443766705346,80.17290337027391,,105.78357361749194,419551.4905149052,301245.2574525745,264810.29810298106,,118306.23306233062
1980,99,100〜499人,形態計,262390,192438.0,175154.0,,69952.0,174.2,160.8,13.4,6995994.0,6999234.0,,70.2725575740046,64.44437746767534,63.9666059213866,,93.5462301746503,120.55363321799307,121.35849056603773,111.66666666666667,73.8,95.22026771545339,87.32300469874707,86.67561777965665,,126.75640945074566,355542.0054200542,260756.0975609756,237336.04336043363,,94785.9078590786
1980,99,30〜99人,形態計,239418,179995.0,168120.0,,59423.0,177.8,166.3,11.5,7743084.0,7742550.0,,76.90069186147352,70.51962654902621,71.20590926032597,,105.93656962544347,125.29950669485555,127.82475019215988,97.45762711864407,73.8,104.20147948709149,95.55504952442577,96.48497189746065,,143.54548729734887,324414.6341463415,243895.66395663956,227804.8780487805,,80518.9701897019
1981,99,30人以上,形態計,279096,205288.0,187288.0,,73808.0,175.1,161.7,13.4,19071604.0,19077607.0,,75.14539266790162,69.33906182447038,69.14900294262074,,97.96135060522404,121.26038781163433,122.49999999999999,108.06451612903226,77.5,96.9617969908408,89.469757192865,89.22451992596224,,126.40174271641811,360123.87096774194,264887.7419354839,241661.93548387097,,95236.12903225806
1981,99,500人以上,形態計,328538,235298.0,207150.0,,93240.0,174.1,156.8,17.3,4274955.0,4278608.0,,68.54823902520447,64.03677315059248,62.71590286376889,,83.37058960281836,116.76727028839704,116.23424759080801,121.83098591549297,77.5,88.44934067768318,82.62809438786127,80.92374563066953,,107.57495432621724,423920.0,303610.32258064515,267290.32258064515,,120309.67741935483
1981,99,100〜499人,形態計,278590,203889.0,186068.0,,74701.0,173.6,160.5,13.1,7118014.0,7120536.0,,74.61119636625611,68.27913238293299,67.95242147242176,,99.89702853780523,120.13840830449827,121.1320754716981,109.16666666666666,77.5,96.27251144033046,88.10210630055869,87.68054383538292,,128.89939166168415,359470.96774193546,263082.58064516133,240087.74193548388,,96388.3870967742
1981,99,30〜99人,形態計,252028,189870.0,177356.0,,62158.0,177.0,165.6,11.4,7678635.0,7678462.0,,80.9510043875709,74.38851908588354,75.1177447226646,,110.81240083432871,124.73572938689217,127.28670253651038,96.61016949152543,77.5,104.45290888718826,95.98518591726909,96.92612222279303,,142.98374301203705,325197.4193548387,244993.5483870968,228846.45161290324,,80203.87096774194
1982,99,30人以上,形態計,288738,213781.0,195400.0,,74957.0,174.7,161.6,13.1,19669872.0,19675133.0,,77.74145952698919,72.20769833549502,72.14405180784723,,99.48635591420684,120.98337950138503,122.42424242424241,105.64516129032258,79.5,97.78799940501784,90.82729350376732,90.7472349784242,,125.14007033233565,363192.4528301887,268906.9182389937,245786.16352201256,,94285.53459119497
1982,99,500人以上,形態計,342137,246735.0,218154.0,,95402.0,173.0,156.4,16.6,4288260.0,4288193.0,,71.38562009681189,67.14937323441524,66.04742975304194,,85.30374291385753,116.02951039570759,115.93773165307636,116.90140845070425,79.5,89.79323282617848,84.46462042064809,83.07852799124773,,107.30030555202205,430361.0062893082,310358.49056603777,274407.5471698113,,120002.51572327045
1982,99,100〜499人,形態計,288813,213342.0,194489.0,,75471.0,174.3,161.0,13.3,7209540.0,7211313.0,,77.34909169793433,71.44478937480535,71.0277882266152,,100.92674315975287,120.62283737024222,121.50943396226414,110.83333333333334,79.5,97.29445496595513,89.86765959095013,89.343129844799,,126.9518781883684,363286.7924528302,268354.71698113205,244640.25157232705,,94932.07547169812
1982,99,30〜99人,形態計,260655,196879.0,184266.0,,63776.0,175.9,164.8,11.1,8172072.0,8175627.0,,83.7219834647035,77.1345512672337,78.04442110256498,,113.69689622591055,123.96053558844255,126.67179093005383,94.06779661016948,79.5,105.31067102478428,97.02459278897321,98.16908314788047,,143.0149638061768,327867.92452830187,247646.54088050316,231781.13207547172,,80221.38364779875
1983,99,30人以上,形態計,297269,221353.0,202056.0,,75916.0,174.8,161.4,13.4,19912815.0,19908619.0,,80.03839443415328,74.76525345871164,74.60152779982795,,100.75918454024209,121.05263157894737,122.27272727272727,108.06451612903226,81.0,98.81283263475713,92.30278204779215,92.10065160472585,,124.3940549879532,366998.76543209876,273275.3086419753,249451.85185185188,,93723.45679012345
1983,99,500人以上,形態計,355733,256891.0,227108.0,,98842.0,173.5,156.7,16.8,4294300.0,4293105.0,,74.22237522951093,69.9133468683493,68.75830686741406,,88.37962052254153,116.36485580147553,116.16011860637508,118.3098591549296,81.0,91.6325620117419,86.31277391154234,84.88679860174577,,109.11064262042164,439176.5432098766,317149.3827160494,280380.2469135802,,122027.16049382716
